BoroCD,CounDist
410,32
410,42
410,31
410,28
410,29
410,37
480,22
480,21
480,19
104,2
104,3
104,6
107,6
107,7
107,9
595,51
595,50
595,49
317,42
317,45
317,40
317,41
409,32
409,28
409,29
409,24
409,37
413,31
413,28
413,27
413,23
483,32
483,31
226,11
313,48
313,47
313,44
313,43
482,32
482,29
482,37
202,18
202,8
202,17
205,16
205,15
205,14
305,32
305,42
305,37
318,48
318,42
318,46
318,45
403,25
403,26
403,22
403,21
404,30
404,24
404,25
404,26
404,21
105,2
105,3
105,4
105,6
407,24
407,20
407,21
407,19
411,23
411,20
411,19
106,26
106,5
106,33
106,2
106,4
110,6
110,7
110,8
110,9
110,10
164,5
164,4
164,6
164,7
164,8
164,9
302,39
302,35
302,36
302,1
302,33
303,35
303,41
303,36
303,37
303,34
303,33
203,17
203,16
203,15
501,50
501,49
109,7
109,9
109,10
502,51
502,50
502,49
503,51
503,50
312,48
312,44
312,43
312,38
312,39
312,45
312,40
314,48
314,44
314,39
314,46
314,45
314,40
103,1
103,2
103,4
301,30
301,36
301,34
301,33
301,2
301,4
414,32
414,31
408,27
408,29
408,24
408,23
408,20
412,31
412,28
412,27
412,29
412,24
412,23
204,8
204,17
204,16
204,15
204,14
206,17
206,15
227,13
227,12
227,11
227,15
207,11
207,16
207,15
207,10
207,14
356,32
356,42
356,46
484,32
484,42
484,31
310,50
310,47
310,43
310,38
101,1
101,3
102,1
102,2
102,3
401,25
401,26
401,5
401,22
401,21
402,30
402,25
402,26
402,5
402,4
108,5
108,4
108,6
108,8
211,18
211,13
211,12
211,11
211,17
211,15
209,18
209,13
209,17
209,15
307,47
307,43
307,38
307,39
307,40
112,7
112,9
112,10
208,11
208,10
208,14
405,32
405,30
405,37
405,34
405,26
306,38
306,39
306,35
306,1
306,33
311,50
311,47
311,44
311,43
311,38
315,48
315,47
315,44
315,43
315,46
315,45
355,39
355,35
355,40
406,32
406,29
406,30
406,24
481,29
481,24
481,20
481,21
212,13
212,12
212,11
308,39
308,35
308,41
308,36
309,39
309,35
309,40
309,41
210,18
210,13
210,12
228,13
228,12
111,5
111,6
111,8
111,9
201,8
201,17
201,16
304,32
304,41
304,36
304,37
304,34
316,42
316,41
316,37
