community_district,school_district
410,27
480,30
104,2
107,3
595,31
317,18
409,27
413,29
483,27
226,10
313,21
482,24
202,8
205,10
305,19
318,22
403,30
404,24
105,2
407,25
411,26
106,2
110,5
164,3
302,13
303,13
203,9
501,31
109,5
502,31
503,31
312,20
314,22
103,1
301,14
414,27
408,26
412,29
204,9
206,12
227,10
207,10
356,
484,
310,20
101,2
102,2
401,30
402,24
108,2
211,11
209,8
307,15
112,6
208,10
405,24
306,15
311,21
315,22
355,17
406,28
481,25
212,11
308,17
309,17
210,8
228,11
111,4
201,7
304,32
316,23
