community_district,census_tract
410,086400
480,033100
104,011100
107,017100
595,012804
317,085200
409,012601
413,059600
483,071600
226,043503
313,034800
482,064102
202,009301
205,024300
305,116400
318,069601
403,035100
404,046100
105,008400
407,115700
411,138501
106,007800
110,022600
164,014300
302,002901
303,027700
203,015100
501,014700
109,021900
502,027302
503,017009
312,047600
314,076400
103,003001
301,050100
414,094202
408,124700
412,043200
204,019700
206,037300
227,033400
207,040701
356,
484,
310,014200
101,000700
102,006500
401,012500
402,018502
108,013400
211,028800
209,004200
307,008800
112,027900
208,033500
405,061301
306,007700
311,027200
315,059403
355,017700
406,071100
481,038302
212,040400
308,034100
309,032900
210,027401
228,050400
111,017800
201,004100
304,041700
316,092400
